"가구 가중치","가구원 가중치","지역코드","가구원수_계(비교항목)","성별","1.주택형태","2.점유형태","5.가구주와의관계","6.교육정도","6-1.수학여부","7.혼인상태","8.사회복지우선지원분야","8-1.노인복지우선지원분야","9.노인이느끼는문제","10.노후준비","10-1.노후준비방법_0","10-1.노후준비방법_1","10-2.노후준비계획2","11.지역거주기간","11-1.향후거주의향","12.정주의식","13.주택만족도","14.거주지소속감","15.거주지만족도","15-1.거주지불만족이유","16.필요공공시설_0","16.필요공공시설_1","17.이주계획","17-1.이주계획이유","17-2.이주계획지역","18.통근여부","18-1.통근지역위치","18-2.교통수단","18-3.통근시간_시간_통근시간","18-3.통근시간_시간_통근분","19-1.대중교통만족여부_지하철","19-2.대중교통만족여부_기차","19-3.대중교통만족여부_택시","19-4.대중교통만족여부_버스","19-1-1.버스만족이유_0","19-1-1.버스만족이유_1","19-1-2.버스개선시필요한것_0","19-1-2.버스개선시필요한것_1","20.공연및스포츠관람","20.공연및스포츠관람_유형_0","20.공연및스포츠관람_유형_1","20.공연및스포츠관람_유형_2","20.공연및스포츠관람_유형_3","20.공연및스포츠관람_유형_4","20.공연및스포츠관람_유형_5","20.공연및스포츠관람_유형_6","20.공연및스포츠관람_유형_7","20.공연및스포츠관람횟수_음악","20.공연및스포츠관람횟수_연극","20.공연및스포츠관람횟수_무용","20.공연및스포츠관람횟수_영화","20.공연및스포츠관람횟수_박물관","20.공연및스포츠관람횟수_미술관","20.공연및스포츠관람횟수_스포츠","20.공연및스포츠관람횟수_기타","21.평일주말시간_평일","21.평일주말시간_주말","22.주말휴일여가활용여부_0","22.주말휴일여가활용여부_1","22-1.여가생활만족도","22-1-1.여가생활불만족이유","23.관광여행여부","23-1.관광지정보습득경로","23-2.관광지선택이유","23-3.관광지우선추진분야","24.주된소득원_0","24.주된소득원_1","24-1.월평균가구소득","25.개인소득여부","25-1.개인소득만족정도","26.소비생활만족도","27.소득분배정도","28.생활비지출","29.부채유무","29.부채원인","30.삶의만족도","31.일의가치","32.대중에대한신뢰","33.사회적계층의식","34.자원봉사참여","34.자원봉사참여_복지_횟수","34.자원봉사참여_복지_시간","34.자원봉사참여_환경_횟수","34.자원봉사참여_환경_시간","34.자원봉사참여_자녀_횟수","34.자원봉사참여_자녀_시간","34.자원봉사참여_행사_횟수","34.자원봉사참여_행사_시간","34.자원봉사참여_재해_횟수","34.자원봉사참여_재해_시간","34.자원봉사참여_봉사_횟수","34.자원봉사참여_봉사_시간","35.후원여부","35.후원여부_직접후원_횟수","35.후원여부_언론기관_횟수","35.후원여부_모금단체_횟수","35.후원여부_종교단체_횟수","35.후원여부_직장_횟수","35.후원여부_기타_횟수","36.직업선택요인","37.일자리창출","38-3.평소경제활동_지위","38-3.평소경제활동_지위_임금근로자","38-3-6.근로여건만족도_직장내교육기회","39.경력단절여성_직장여부","39-1.경력단절여성_그만둔이유_0","39-1.경력단절여성_그만둔이유_1","39-2.경력단절여성_직장복귀여부","39-2.경력단절여성_직장복귀여부_있다","39-2-1.경력단절여성_희망근로형태","39-2-1.경력단절여성_희망근로형태_임금세부","만나이","40.생활용품구입","40-1.전통시장이용","40-2.전통시장이용주된이유","40-3.전통시장미이용이유","41-1.국가안보","41-2.자연재해","41-3.건축물및시설물","41-4.교통사고","41-5.화재","41-6.먹거리","41-7.정보보안","41-8.신종전염병","41-9.범죄위험","41-10.전반적인사회안전","42.도서관이용정도","42-1.도서관이용이유","42-2.도서관만족도","42-3.도서관미이용이유","43.도서관이용활성화","44.관내의료시설이용","44-1.질병치료및관리","44-2.이용의료시설만족도","44-3.의료시설불만족개선할점","45.보건소이용","45-1.보건시설이용만족도","46.환경수도수원우선적실천과제","46-1.환경수도조성시민실천운동","47.관내도시공원","47-1.도시공원이용정도","47-2.도시공원이용만족도","47-3.도시공원이용불편한점","48.수원천이용","48-1.수원천이용정도","48-2.수원천복원에대한생각","48-3.수원천복원효과","49.수원화성문화제인지","49-1.정조대왕능행차연시","49-2.혜경궁홍씨진찬연","49-3.무예브랜드공연야조","49-4.백동수의무과재현","49-5.어르신양로연","49-6.김홍도의민생보고","49-7.정약용의행궁미스터리","49-8.수원화성문화제이용경험","49-8-1.수원화성문화제프로그램개발","49-8-2.수원화성문화제홍보방법","49-8-3.수원화성문화제축제상품개발","49-8-4.수원화성문화제행사장접근성","49-9-1.수원화성문화제개선과제","50.나혜석거리인지여부","50-1.나혜석거리인상적인내용","50-2.나혜석거리효율적홍보방법"
,281,31014,4,2,,,2,6,1,2,5,,1,1,1,5,,,,4,3,2,3,,3,7,,,,3,,,,,2,3,4,3,,,,,1,4,5,,,,,,,,,,5,4,,,,3,3,1,6,3,,1,1,4,1,,,,2,,3,4,,,,3,3,3,4,2,,,,,,,,,,,,,2,,,,,,,3,3,,,,1,1,3,1,3,1,2,38,2,2,,1,4,4,4,3,3,5,4,4,5,4,3,1,2,,2,1,4,2,,2,,4,2,1,2,2,2,2,,,,1,3,4,4,4,4,4,3,2,,,,,,1,3,4
,281,31014,4,2,,,2,6,1,2,5,,2,1,1,5,,,,4,2,2,2,,2,,,,,1,2,1,,15,2,2,2,3,,,,,1,1,4,5,,,,,,1,,,2,5,,,,1,3,2,6,2,,1,1,4,2,,,,1,2,2,4,,,,2,3,3,3,2,,,,,,,,,,,,,1,,,12,,,,2,4,1,1,,,,,,,,,36,2,2,,1,2,2,2,4,3,4,4,3,4,3,2,1,1,,4,2,,,,2,,3,4,1,3,2,1,2,,,,1,2,2,3,4,4,5,5,1,2,3,2,2,1,1,2,3
,281,31014,4,2,,,2,6,1,2,5,,3,1,1,6,,,,3,1,3,1,,2,,,,,3,,,,,4,3,3,3,,,,,1,4,6,,,,,,,,,,3,,1,,,2,1,6,8,2,,1,2,3,5,,,,2,,4,4,,,,4,3,3,5,2,,,,,,,,,,,,,2,,,,,,,1,4,,,,1,1,,2,,,,39,2,2,,4,4,3,2,3,3,3,4,4,3,3,5,,,1,5,1,2,4,4,2,,3,4,1,4,4,1,2,,,,2,,,,,,,,,,,,,,1,3,3
,281,31014,4,2,,,2,6,1,2,5,,7,1,,,5,,,3,4,4,2,,4,,,,,3,,,,,1,4,3,4,,,4,,1,1,4,5,,,,,,1,,,1,1,,,,2,2,5,8,3,,1,2,2,4,,,,2,,2,2,,,,2,3,3,5,2,,,,,,,,,,,,,1,12,,,,,,4,3,,,,1,3,,2,,,,35,5,2,,2,2,3,4,3,2,3,3,2,3,3,2,2,2,,2,1,2,3,,2,,4,2,1,3,2,1,2,,,,2,,,,,,,,,,,,,,1,2,1
,281,31014,4,2,,,2,7,1,2,1,,9,1,1,3,,,,3,3,2,2,,2,7,,,,1,3,1,,50,1,2,2,4,,,3,5,1,1,4,6,,,,,,1,,,5,,1,,,2,2,7,9,2,,1,1,1,1,,,,1,2,2,3,,,,2,2,3,3,2,,,,,,,,,,,,,2,,,,,,,2,2,1,1,,,,,,,,,32,2,1,4,,3,4,3,4,2,4,2,4,3,3,2,1,2,,4,1,1,3,,1,2,4,3,1,2,2,6,2,,,,1,2,4,4,3,3,4,3,1,3,2,2,3,5,1,1,4
,281,31014,4,2,,,2,7,3,2,5,,4,1,3,5,,,,4,3,3,1,,7,8,,,,3,,,,,2,3,3,2,1,2,,,2,,,,,,,,,,,,,,,,,1,1,8,,2,,2,,,,,,,2,,5,5,,,,4,1,2,5,1,40,4,,,,,,,,,,,1,,,1,,,,4,2,,,,1,1,2,1,5,1,1,38,2,1,3,,5,5,5,4,3,5,5,5,2,4,1,4,2,,4,1,1,4,5,1,5,2,5,1,5,2,4,2,,,,2,,,,,,,,,,,,,,2,,
,281,31014,4,2,,,2,8,1,2,2,8,1,1,,,5,,,3,3,3,4,4,2,,,,,3,,,,,2,3,4,4,,,1,5,2,,,,,,,,,,,,,,,,,3,3,6,9,1,,1,4,4,1,,,,2,,5,5,,,,3,3,4,5,2,,,,,,,,,,,,,2,,,,,,,1,6,,,,1,3,1,1,4,2,,38,2,2,,2,2,4,4,4,4,5,2,3,3,3,2,2,2,,5,1,1,1,,2,,3,3,1,3,2,2,2,,,,1,2,3,4,4,4,4,4,2,,,,,,1,2,3
,281,31014,4,2,,,4,4,1,2,3,,4,1,3,5,,,,1,1,3,1,,1,2,,,,3,,,,,3,3,3,2,1,2,,,2,,,,,,,,,,,,,,,,,1,1,1,9,3,,1,1,1,1,,,,2,,3,3,,,,1,3,1,3,2,,,,,,,,,,,,,2,,,,,,,5,6,,,,1,1,2,1,3,1,2,32,2,1,3,,4,3,3,3,3,3,3,3,3,3,5,,,2,1,1,1,1,,1,3,3,2,1,2,1,4,1,5,2,3,1,2,2,2,2,2,2,2,1,2,2,4,4,5,1,3,3
,281,31014,5,2,,,2,6,1,2,1,,1,1,1,3,,,,3,2,3,2,,1,8,,,,3,,,,,4,5,4,2,1,,,,1,4,,,,,,,,,,,2,,,,,1,1,2,9,2,,1,4,2,1,,,,1,4,3,3,,,,3,3,3,3,2,,,,,,,,,,,,,2,,,,,,,3,3,,,,1,2,,1,4,1,1,38,2,1,1,,4,3,3,3,3,4,3,3,3,4,5,,,3,5,1,1,2,,2,,2,3,1,2,2,4,2,,,,1,3,4,3,5,5,5,4,1,3,4,3,3,3,1,2,2
,281,31014,5,2,,,2,6,1,2,1,,3,1,1,4,,,,3,3,3,2,,3,6,,,,1,3,1,1,10,3,4,3,3,,,,,1,1,3,4,,,,,,1,,1,2,,,,,2,4,7,9,3,,1,1,2,5,,,,1,2,5,4,,,,3,3,4,4,2,,,,,,,,,,,,,1,,,41,,6,,2,1,1,1,,,,,,,,,37,2,2,,5,4,4,4,5,3,4,4,4,4,4,5,,,1,1,1,2,3,,2,,2,3,2,,,,2,,,,2,,,,,,,,,,,,,2,1,1,2
,281,31014,5,2,,,9,8,4,1,1,,3,1,,,1,,,4,2,2,3,,6,7,,,,3,,,,,2,3,3,2,1,2,,,2,,,,,,,,,,,,,,,,,4,4,8,9,3,,2,,,,,,,2,,3,3,,,,3,3,3,4,2,,,,,,,,,,,,,2,,,,,,,3,5,,,,2,,,,,,,31,2,2,,5,3,3,3,3,3,3,3,3,3,3,1,3,1,,3,2,,,,2,,3,5,2,,,,2,,,,2,,,,,,,,,,,,,,2,,
,281,31014,6,2,,,2,6,1,2,2,2,2,1,1,3,,,,3,4,3,2,,4,,,,,3,,,,,3,2,4,4,,,1,,2,,,,,,,,,,,,,,,,,3,2,9,,1,,1,1,1,5,,,,2,,4,4,,,,4,3,4,5,2,,,,,,,,,,,,,2,,,,,,,1,1,,,,1,2,,1,4,1,2,36,2,2,,2,4,4,4,4,4,4,4,4,4,4,5,,,3,1,1,3,1,,1,3,3,2,1,5,2,1,2,,,,2,,,,,,,,,,,,,,1,4,1
,281,31014,6,2,,,2,7,1,2,1,,1,1,2,5,,,,3,1,2,3,,7,,,,,3,,,,,3,4,3,3,,,,,1,4,6,,,,,,,,,,12,,2,,,1,1,6,9,3,,1,2,4,3,,,,2,,4,4,,,,2,1,1,4,2,,,,,,,,,,,,,2,,,,,,,3,6,,,,1,2,,1,5,1,1,37,2,2,,1,5,5,5,5,5,5,5,5,5,5,5,,,1,5,1,2,3,,2,,2,2,1,1,2,3,1,3,3,1,1,1,1,1,5,5,5,5,1,2,3,2,2,4,1,3,2
,281,31014,6,2,,,2,7,1,2,1,,8,1,1,5,,,,4,3,2,3,,1,7,,,,1,5,1,1,10,6,6,6,3,,,,,2,,,,,,,,,,,,,,,,,2,1,9,,3,,1,1,1,3,,,,1,2,3,5,,,,3,2,3,3,1,1,1,,,,,,,,,,,1,,,,,2,,5,4,1,1,,,,,,,,,39,4,2,,5,3,3,4,4,5,5,4,5,5,5,3,1,2,,1,1,1,3,,2,,4,5,1,3,4,6,2,,,,1,3,4,4,4,4,4,4,1,4,4,3,3,3,2,,
,288,31013,2,1,,,2,6,1,2,1,,3,1,2,3,,,,3,2,3,2,,2,5,,,,1,1,1,,20,2,6,3,3,,,,,1,4,,,,,,,,,,,5,,,,,1,2,8,9,2,,1,1,4,4,,,,1,2,2,3,,,,2,2,1,2,2,,,,,,,,,,,,,1,,,5,,,,3,4,1,1,,,,,,,,,47,5,2,,1,4,2,2,2,3,4,4,4,4,4,5,,,1,2,2,,,,2,,3,3,1,3,2,3,2,,,,2,,,,,,,,,,,,,,1,2,4
,288,31013,2,1,,,3,4,1,1,5,,1,1,,,3,,,1,4,3,3,,3,4,,,,3,,,,,2,6,3,2,1,2,,,2,,,,,,,,,,,,,,,,,4,4,1,9,3,,2,,,,,,,2,,4,4,,,,5,5,2,6,2,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,49,1,1,1,,5,3,2,3,2,3,2,4,2,2,5,,,3,2,1,1,2,,2,,4,2,2,,,,2,,,,1,2,3,3,4,4,4,4,1,3,2,3,3,3,2,,
,288,31013,2,1,,,8,4,1,1,2,6,4,1,5,6,,,,3,2,3,2,,6,8,,,,3,,,,,3,3,3,4,,,3,,1,4,,,,,,,,,,,2,,,,,1,1,9,,3,,1,4,3,5,,,,1,3,2,5,,,,2,2,3,3,2,,,,,,,,,,,,,2,,,,,,,1,2,,,,,,,,,,,45,2,1,4,,2,2,2,3,2,2,3,2,3,3,5,,,3,5,1,1,4,5,2,,3,4,2,,,,2,,,,2,,,,,,,,,,,,,,2,,
,288,31013,2,1,,,9,4,1,1,5,,8,1,1,8,,,,4,4,2,3,,4,5,,,,1,2,1,,30,3,6,3,3,,,,,2,,,,,,,,,,,,,,,,,3,3,7,9,3,,1,4,2,2,,,,1,3,3,4,,,,3,3,2,6,2,,,,,,,,,,,,,2,,,,,,,1,1,1,1,,,,,,,,,46,4,1,3,,4,3,2,3,2,3,1,3,2,2,5,,,3,2,2,,,,2,,5,3,2,,,,2,,,,2,,,,,,,,,,,,,,2,,
,288,31013,4,1,,,2,5,5,2,2,7,4,1,1,5,,,,3,2,2,2,,3,,,,,1,1,1,,50,1,2,3,2,1,,,,1,4,,,,,,,,,,,4,,,,,1,1,5,,1,,1,1,4,1,,,,1,2,2,4,,,,2,2,3,3,2,,,,,,,,,,,,,2,,,,,,,4,4,1,1,,,,,,,,,43,2,2,,4,4,3,3,3,3,4,3,3,3,3,5,,,3,4,2,,,,2,,5,3,1,2,2,5,2,,,,1,2,2,3,3,4,4,4,2,,,,,,1,2,4
,289,31013,2,1,,,2,4,1,2,3,,4,1,,,2,,,3,3,3,4,4,5,,,,,1,1,6,,10,2,6,2,2,1,3,,,1,4,,,,,,,,,,,2,,,,,2,1,1,7,4,2,2,,,,,,,1,4,3,4,,,,4,3,3,5,2,,,,,,,,,,,,,2,,,,,,,2,4,1,3,,,,,,,,,50,3,1,4,,3,2,2,3,2,4,4,4,4,3,5,,,3,5,1,1,2,,2,,3,4,2,,,,2,,,,1,2,2,2,2,3,5,5,2,,,,,,1,4,2
,289,31013,3,1,,,2,6,1,2,2,1,4,1,,,3,,,3,5,3,4,3,8,,,,,3,,,,,1,1,3,2,3,,,,2,,,,,,,,,,,,,,,,,1,1,1,7,5,1,1,1,4,3,,,,2,,5,5,,,,5,1,2,6,2,,,,,,,,,,,,,2,,,,,,,4,1,,,,,,,,,,,59,4,1,5,,4,5,5,3,3,3,3,3,2,2,1,1,1,,1,2,,,,2,,4,5,1,5,3,3,1,5,1,2,2,,,,,,,,,,,,,,2,,
,294,31014,2,2,,,2,1,,2,2,1,1,1,,,5,,,3,2,3,3,,4,8,,,,3,,,,,3,6,3,2,1,3,,,2,,,,,,,,,,,,,,,,,2,3,1,8,3,,2,,,,,,,2,,3,4,,,,3,3,3,4,2,,,,,,,,,,,,,2,,,,,,,2,1,,,,,,,,,,,78,4,2,,5,5,4,4,3,3,4,3,3,3,3,5,,,3,2,1,1,3,,2,,5,2,1,3,3,3,2,,,,1,2,2,2,3,4,5,5,2,,,,,,1,2,2
,294,31014,2,2,,,2,1,,2,2,6,3,1,,,3,,,3,3,3,3,,3,5,,,,3,,,,,6,6,6,4,,,1,,2,,,,,,,,,,,,,,,,,4,4,1,9,3,,2,,,,,,,2,,4,4,,,,3,3,1,5,2,,,,,,,,,,,,,2,,,,,,,1,3,,,,,,,,,,,81,1,1,1,,5,5,5,5,5,5,5,5,5,5,5,,,5,6,1,2,1,,2,,3,2,2,,,,2,,,,2,,,,,,,,,,,,,1,2,,
,294,31014,2,2,,,2,2,1,2,2,1,4,1,3,5,,,,3,3,2,3,,3,4,,,,3,,,,,3,4,4,4,,,3,,2,,,,,,,,,,,,,,,,,4,4,1,9,3,,2,,,,,,,1,3,3,4,,,,2,2,1,4,2,,,,,,,,,,,,,2,,,,,,,1,4,,,,,,,,,,,68,4,2,,2,3,3,3,3,3,4,3,3,3,3,5,,,3,5,1,1,4,4,2,,5,3,1,5,3,4,2,,,,1,2,3,4,4,4,4,4,2,,,,,,2,,
,294,31014,2,2,,,2,2,1,2,2,1,8,1,,,3,,,3,3,4,1,,3,4,,,,3,,,,,1,6,3,3,,,,,2,,,,,,,,,,,,,,,,,4,4,5,,3,,1,4,4,6,,,,1,3,3,5,,,,3,2,3,3,2,,,,,,,,,,,,,2,,,,,,,4,5,,,,,,,,,,,89,2,2,,5,3,3,3,3,3,3,3,3,3,3,5,,,3,2,1,2,2,,2,,2,5,1,2,2,2,2,,,,2,,,,,,,,,,,,,,2,,
,294,31014,2,2,,,2,2,1,2,2,7,4,1,3,8,,,,3,3,2,2,,3,,,,,3,,,,,2,3,3,2,1,,,,2,,,,,,,,,,,,,,,,,4,4,1,9,2,,2,,,,,,,1,4,3,3,,,,3,3,3,4,2,,,,,,,,,,,,,1,,,,12,,,1,1,,,,,,,,,,,74,4,1,4,,3,3,3,3,3,4,3,3,3,3,5,,,3,5,1,1,4,4,2,,3,3,1,1,1,4,1,3,2,4,1,2,5,5,5,5,5,5,1,2,2,2,3,4,2,,
,294,31014,2,2,,,2,2,1,2,3,,3,1,,,5,,,3,1,4,1,,3,,,,,3,,,,,6,6,3,6,,,,,2,,,,,,,,,,,,,,,,,4,4,1,10,1,,1,4,4,5,,,,2,,1,4,,,,1,1,3,1,2,,,,,,,,,,,,,1,,,,12,,,3,2,,,,,,,,,,,85,4,2,,5,5,5,4,5,3,5,2,4,5,4,5,,,3,4,1,2,2,,2,,4,5,1,5,2,5,2,,,,2,,,,,,,,,,,,,,2,,
,294,31014,2,2,,,2,2,1,2,3,,8,1,4,5,,,,3,2,4,1,,4,,,,,3,,,,,1,1,1,1,1,5,,,2,,,,,,,,,,,,,,,,,3,4,9,,2,,1,4,3,5,,,,2,,3,2,,,,2,2,2,3,2,,,,,,,,,,,,,2,,,,,,,4,6,,,,,,,,,,,63,3,2,,5,5,5,4,4,5,5,4,5,4,5,5,,,3,2,1,2,2,,2,,4,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,
,294,31014,2,2,,,2,2,5,2,1,,1,1,1,8,,,,3,2,2,3,,2,,,,,3,,,,,6,6,6,2,1,,,,2,,,,,,,,,,,,,,,,,3,3,1,9,3,,1,4,2,5,,,,1,4,4,4,,,,3,3,3,4,2,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,61,1,1,1,,5,4,3,4,3,4,5,5,4,3,5,,,3,5,1,1,2,,1,2,1,3,1,5,1,4,2,,,,2,,,,,,,,,,,,,,2,,
,294,31014,2,2,,,2,2,5,2,2,2,1,1,,,3,,,3,3,3,3,,2,,,,,1,1,6,,20,6,6,6,3,,,,,2,,,,,,,,,,,,,,,,,4,4,9,,3,,1,4,3,2,,,,1,5,5,5,,,,3,2,1,5,2,,,,,,,,,,,,,2,,,,,,,1,6,1,2,,,,,,,,,71,1,1,1,,5,5,5,5,5,2,5,5,5,5,5,,,2,2,1,2,3,,2,,3,1,2,,,,2,,,,2,,,,,,,,,,,,,,1,1,2
,294,31014,2,2,,,2,3,1,2,2,2,3,1,1,5,,,,3,2,2,2,,3,4,,,,3,,,,,2,6,6,2,1,,,,2,,,,,,,,,,,,,,,,,1,1,1,10,2,,1,4,4,2,,,,2,,3,3,,,,3,3,1,4,2,,,,,,,,,,,,,1,,,,10,,,1,4,,,,,,,,,,,79,2,1,1,,4,3,3,3,3,4,3,3,3,3,5,,,3,1,1,2,2,,2,,4,3,1,1,1,3,1,4,3,4,1,2,2,3,3,2,3,3,1,2,2,2,2,4,2,,
,294,31014,2,2,,,2,3,1,2,2,5,4,1,,,1,,,4,3,2,3,,2,4,,,,3,,,,,6,6,6,2,1,3,,,2,,,,,,,,,,,,,,,,,4,4,5,9,3,,2,,,,,,,2,,3,4,,,,4,3,2,5,2,,,,,,,,,,,,,2,,,,,,,1,5,,,,,,,,,,,65,1,1,1,,3,2,3,3,3,2,2,2,2,2,5,,,3,5,1,1,2,,2,,2,4,1,5,2,5,2,,,,1,3,4,5,5,5,5,5,2,,,,,,2,,
,294,31014,2,2,,,2,3,1,2,3,,3,1,,,5,,,4,2,2,3,,3,,,,,3,,,,,3,6,6,2,2,,,,1,4,7,,,,,,,,,,5,,,2,,4,4,2,5,1,,1,4,4,2,,,,2,,3,4,,,,3,2,4,4,2,,,,,,,,,,,,,2,,,,,,,2,3,,,,,,,,,,,71,1,1,1,,4,3,3,4,4,4,3,4,5,3,5,,,3,2,1,2,2,,1,1,1,5,1,1,1,6,2,,,,2,,,,,,,,,,,,,,2,,
,294,31014,2,2,,,2,4,1,2,2,2,3,1,,,5,,,3,2,3,2,,8,,,,,3,,,,,2,3,3,3,,,,,1,1,2,4,,,,,,1,1,,3,,,,,1,1,10,,2,,1,4,4,2,,,,2,,3,5,,,,2,1,1,3,2,,,,,,,,,,,,,1,,,,12,,,5,4,,,,,,,,,,,69,2,1,4,,4,3,3,3,3,4,3,3,3,3,5,,,3,5,1,1,3,,2,,5,3,1,4,3,4,2,,,,1,2,4,4,4,4,4,4,2,,,,,,1,3,1
,294,31014,2,2,,,2,4,1,2,2,2,4,1,3,5,,,,3,2,3,2,,5,8,,,,3,,,,,3,6,3,5,,,3,4,1,4,,,,,,,,,,,16,,,,,2,4,1,2,3,,1,1,4,2,,,,2,,3,4,,,,2,3,3,4,2,,,,,,,,,,,,,2,,,,,,,2,2,,,,,,,,,,,63,2,2,,1,4,3,3,3,3,5,4,4,4,4,5,,,3,5,1,1,2,,1,2,2,4,1,2,1,1,1,3,2,4,1,2,2,2,4,3,5,5,1,3,3,4,5,5,1,2,3
,294,31014,2,2,,,2,4,1,2,2,7,1,1,1,5,,,,3,1,4,1,,5,6,,,,3,,,,,6,6,6,4,,,3,4,2,,,,,,,,,,,,,,,,,2,3,1,9,3,,1,1,4,5,,,,2,,3,4,,,,3,4,3,4,2,,,,,,,,,,,,,2,,,,,,,2,1,,,,,,,,,,,63,2,1,4,,4,3,3,3,3,4,4,4,4,4,5,,,3,2,1,2,2,,1,1,4,3,1,2,1,2,2,,,,1,3,3,4,4,4,4,4,2,,,,,,2,,
,294,31014,2,2,,,2,4,1,2,5,,1,1,,,3,,,4,3,3,3,,1,,,,,3,,,,,2,3,3,2,1,3,,,1,2,5,,,,,,,,1,,,2,,,,4,3,1,6,3,,1,4,2,1,,,,2,,3,4,,,,3,3,3,3,2,,,,,,,,,,,,,2,,,,,,,1,3,,,,,,,,,,,64,2,2,,1,4,4,3,3,3,2,3,3,2,3,5,,,3,3,1,1,2,,2,,4,4,1,3,2,5,2,,,,2,,,,,,,,,,,,,,2,,
,294,31014,2,2,,,2,6,1,2,2,3,1,1,,,4,,,3,3,2,2,,4,3,,,,3,,,,,2,4,4,2,1,2,,,2,,,,,,,,,,,,,,,,,2,2,1,9,3,,2,,,,,,,2,,3,4,,,,3,3,3,5,1,48,1,,,,,,,,,,,1,,,,12,,,1,1,,,,,,,,,,,68,3,1,1,,5,4,4,3,3,5,3,3,3,3,5,,,3,2,1,1,3,,1,3,2,5,1,3,2,4,2,,,,2,,,,,,,,,,,,,,2,,
,294,31014,2,2,,,6,2,1,3,2,6,2,1,,,3,,,3,2,3,3,,3,5,,,,3,,,,,6,6,6,6,,,,,2,,,,,,,,,,,,,,,,,4,4,1,9,3,,2,,,,,,,2,,3,3,,,,3,3,4,4,2,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,70,1,1,3,,3,2,2,2,2,2,2,3,3,3,5,,,3,2,1,1,2,,2,,2,4,2,,,,2,,,,2,,,,,,,,,,,,,,2,,
,294,31014,2,2,,,6,2,1,3,2,6,3,1,,,4,,,1,3,3,3,,4,,,,,3,,,,,6,6,2,2,1,,,,2,,,,,,,,,,,,,,,,,4,4,1,11,3,,2,,,,,,,2,,2,3,,,,3,3,1,3,2,,,,,,,,,,,,,2,,,,,,,1,4,,,,,,,,,,,77,1,1,1,,5,5,3,4,4,4,3,5,4,4,5,,,3,3,1,2,1,,1,1,3,1,1,5,1,4,2,,,,1,2,5,5,5,5,5,5,1,2,2,2,2,6,2,,
,294,31014,2,2,,,6,3,1,3,2,3,1,1,3,5,,,,3,2,3,2,,4,3,,,,3,,,,,3,4,3,2,1,2,,,2,,,,,,,,,,,,,,,,,4,4,1,9,3,,1,4,4,5,,,,2,,3,4,,,,3,3,3,5,2,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,77,2,1,1,,4,4,4,3,4,4,3,4,4,4,5,,,3,2,1,1,1,,2,,3,2,1,2,2,5,2,,,,1,2,2,4,4,4,4,4,1,3,3,3,3,5,2,,
,294,31014,2,2,,,6,4,1,3,2,3,1,1,3,5,,,,3,3,2,2,,4,8,,,,3,,,,,3,6,3,6,,,,,2,,,,,,,,,,,,,,,,,3,3,1,7,3,,2,,,,,,,2,,3,4,,,,3,3,1,5,2,,,,,,,,,,,,,2,,,,,,,2,1,,,,,,,,,,,72,2,2,,1,5,4,4,3,3,5,4,4,4,4,5,,,3,2,1,1,4,4,2,,5,3,2,,,,2,,,,2,,,,,,,,,,,,,,2,,
,294,31014,2,2,,,6,4,1,4,2,2,1,1,3,5,,,,3,1,2,1,,3,4,,,,3,,,,,3,4,3,1,1,2,,,2,,,,,,,,,,,,,,,,,2,2,1,9,3,,1,4,4,2,,,,2,,3,4,,,,3,3,3,5,2,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,61,3,1,1,,4,4,4,3,3,5,3,3,3,3,5,,,3,2,1,1,1,,2,,5,2,1,4,2,3,1,5,3,4,1,2,2,2,4,4,4,4,1,3,3,4,5,5,2,,
,294,31014,3,2,,,2,6,1,2,5,,2,1,2,8,,,,1,3,4,4,4,4,,,,,3,,,,,6,6,6,6,,,,,1,4,,,,,,,,,,,6,,,,,3,3,10,,3,,1,2,4,4,,,,1,4,3,4,,,,2,2,1,3,2,,,,,,,,,,,,,1,,,,12,,,5,5,,,,,,,,,,,63,2,2,,3,5,4,4,4,4,5,4,5,4,4,5,,,1,2,1,2,2,,2,,2,5,1,3,3,1,2,,,,1,2,5,5,5,5,5,5,2,,,,,,1,1,2
,294,31014,3,2,,,2,7,1,2,5,,4,1,2,5,,,,3,2,4,1,,2,,,,,3,,,,,2,3,4,2,3,,,,1,4,6,,,,,,,,,,7,,2,,,2,1,2,10,3,,1,1,2,2,,,,2,,3,5,,,,2,2,3,4,1,3,4,,,,,,,,,,,1,12,,,12,,,4,3,,,,,,,,,,,60,2,1,5,,5,4,3,4,4,4,4,4,5,3,5,,,2,2,1,1,2,,2,,2,3,1,3,1,2,2,,,,1,3,3,3,4,5,5,5,2,,,,,,1,2,1
